,School ID,school_name,type,size,budget,Student ID,student_name,gender,grade,reading_score,math_score
0,0.0,Huang High School,District,2917.0,1910635.0,0,Paul Bradley,M,9th,66,79
1,0.0,Huang High School,District,2917.0,1910635.0,1,Victor Smith,M,12th,94,61
2,0.0,Huang High School,District,2917.0,1910635.0,2,Kevin Rodriguez,M,12th,90,60
3,0.0,Huang High School,District,2917.0,1910635.0,3,Dr. Richard Scott,M,12th,67,58
4,0.0,Huang High School,District,2917.0,1910635.0,4,Bonnie Ray,F,9th,97,84
5,0.0,Huang High School,District,2917.0,1910635.0,5,Bryan Miranda,M,9th,94,94
6,0.0,Huang High School,District,2917.0,1910635.0,6,Sheena Carter,F,11th,82,80
7,0.0,Huang High School,District,2917.0,1910635.0,7,Nicole Baker,F,12th,96,69
8,0.0,Huang High School,District,2917.0,1910635.0,8,Michael Roth,M,10th,95,87
9,0.0,Huang High School,District,2917.0,1910635.0,9,Matthew Greene,M,10th,96,84
10,0.0,Huang High School,District,2917.0,1910635.0,10,Andrew Alexander,M,10th,90,70
11,0.0,Huang High School,District,2917.0,1910635.0,11,Daniel Cooper,M,10th,78,77
12,0.0,Huang High School,District,2917.0,1910635.0,12,Brittney Walker,F,9th,64,79
13,0.0,Huang High School,District,2917.0,1910635.0,13,William Long,M,9th,71,79
14,0.0,Huang High School,District,2917.0,1910635.0,14,Tammy Hebert,F,10th,85,67
15,0.0,Huang High School,District,2917.0,1910635.0,15,Dr. Jordan Carson,M,11th,94,88
16,0.0,Huang High School,District,2917.0,1910635.0,16,Donald Zamora,M,9th,88,55
17,0.0,Huang High School,District,2917.0,1910635.0,17,Kimberly Santiago,F,9th,74,75
18,0.0,Huang High School,District,2917.0,1910635.0,18,Kevin Stevens,M,9th,64,69
19,0.0,Huang High School,District,2917.0,1910635.0,19,Brandi Lyons,F,9th,89,80
20,0.0,Huang High School,District,2917.0,1910635.0,20,Lisa Davis,F,10th,91,89
21,0.0,Huang High School,District,2917.0,1910635.0,21,Kristen Lopez,F,10th,90,77
